Destination IP,Source IP (Unique Count),Destination Port (Unique Count),Event Name (Unique Count),Log Source (Unique Count),Low Level Category (Unique Count),Protocol (Unique Count),Username (Unique Count),Magnitude (Maximum),Event Count (Sum),Source Geographic Country/Region (Unique Count),Count
192.150.19.174,"Multiple (243,605)",Multiple (3),Multiple (2),Juniper JunOS Platform @ sjc-inetfw,Multiple (2),Multiple (2),None,6,"861,022",Multiple (4),"861,022"
192.150.19.183,"Multiple (61,944)",443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,"183,547",Multiple (4),"183,547"
192.150.14.154,Multiple (552),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,"7,610",Multiple (2),"7,610"
192.150.19.202,Multiple (156),80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,"3,215",Multiple (3),"3,215"
192.147.130.43,Multiple (273),443,Traffic Close,PaSeries @ or1-PA-fefw1,Firewall Session Closed,tcp_ip,None,3,"1,602",Multiple (2),"1,602"
192.147.130.48,Multiple (185),Multiple (2),Traffic Close,PaSeries @ or1-PA-fefw1,Firewall Session Closed,tcp_ip,None,3,"1,351",Multiple (2),"1,351"
192.150.19.157,Multiple (771),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,"1,193",Multiple (2),"1,193"
192.147.130.54,Multiple (103),Multiple (2),Multiple (2),PaSeries @ or1-PA-fefw1,Multiple (2),tcp_ip,None,4,830,Multiple (2),830
192.150.19.119,Multiple (96),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,534,Multiple (2),534
192.150.11.122,Multiple (160),443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,325,Multiple (2),325
192.150.14.56,Multiple (53),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,230,Multiple (2),230
192.150.19.152,Multiple (18),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,158,China,158
216.104.208.117,Multiple (24),Multiple (3),Multiple (2),Juniper JunOS Platform @ sjc-cloudfw,Multiple (2),Multiple (2),None,4,154,Multiple (2),154
192.150.14.206,Multiple (91),Multiple (19),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,128,Multiple (2),128
192.150.14.149,Multiple (41),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,114,Multiple (2),114
192.150.14.120,Multiple (47),Multiple (25),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,88,Multiple (2),88
192.150.14.155,Multiple (30),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,70,Multiple (2),70
216.104.208.140,Multiple (42),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,63,Multiple (2),63
193.105.139.254,Multiple (47),Multiple (20),Session Allowed,PaSeries @ hmbg-inetfw01.corp.adobe.com,Firewall Permit,Multiple (2),None,3,58,Multiple (2),58
193.105.139.131,Multiple (36),Multiple (23),Session Allowed,PaSeries @ hmbg-inetfw01.corp.adobe.com,Firewall Permit,Multiple (2),None,3,55,Multiple (2),55
192.147.130.36,Multiple (7),Multiple (3),Traffic Close,PaSeries @ or1-PA-fefw1,Firewall Session Closed,tcp_ip,None,3,43,Multiple (2),43
193.105.139.152,Multiple (26),Multiple (18),Session Allowed,PaSeries @ hmbg-inetfw01.corp.adobe.com,Firewall Permit,Multiple (2),None,3,43,Multiple (2),43
192.150.14.31,Multiple (24),Multiple (11),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,42,Multiple (2),42
192.150.13.253,Multiple (30),Multiple (22),Session Allowed,PaSeries @ snjs-bpnfw01,Firewall Permit,Multiple (3),None,3,41,Multiple (2),41
192.150.19.64,Multiple (19),Multiple (2),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,39,Multiple (2),39
192.150.19.201,Multiple (26),80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,37,Multiple (2),37
192.150.14.110,Multiple (29),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,37,Multiple (2),37
192.150.14.76,Multiple (30),Multiple (20),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,37,Multiple (2),37
192.150.14.153,Multiple (25),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,35,Multiple (2),35
192.150.14.217,Multiple (28),Multiple (19),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,35,Multiple (2),35
192.150.14.253,Multiple (26),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,35,Multiple (2),35
192.150.19.116,Multiple (5),443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,34,Multiple (2),34
192.150.14.58,Multiple (32),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,34,Multiple (2),34
192.150.14.114,Multiple (28),Multiple (22),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,34,Multiple (2),34
192.150.14.115,Multiple (27),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,33,Multiple (2),33
192.150.14.1,Multiple (23),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,33,Multiple (2),33
192.150.14.69,Multiple (22),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,33,Multiple (3),33
192.150.14.177,Multiple (24),Multiple (19),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,33,Multiple (2),33
192.150.14.68,Multiple (20),Multiple (23),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,33,Multiple (2),33
192.150.14.216,Multiple (25),Multiple (20),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,33,Multiple (2),33
192.150.14.5,Multiple (21),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,32,Multiple (2),32
192.150.14.39,Multiple (27),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,32,Multiple (2),32
192.150.14.6,Multiple (22),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,32,Multiple (2),32
192.150.14.85,Multiple (26),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,32,Multiple (2),32
192.150.14.246,Multiple (26),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.24,Multiple (21),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.145,Multiple (27),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.146,Multiple (23),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.8,Multiple (27),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.156,Multiple (23),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.111,Multiple (24),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.186,Multiple (24),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.141,Multiple (26),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.185,Multiple (25),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.161,Multiple (18),Multiple (19),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.118,Multiple (26),Multiple (21),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.163,Multiple (26),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.169,Multiple (21),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.88,Multiple (20),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.195,Multiple (24),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,31,Multiple (2),31
192.150.14.70,Multiple (27),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.203,Multiple (22),Multiple (19),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.108,Multiple (25),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.94,Multiple (21),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.151,Multiple (26),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.159,Multiple (25),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.11,Multiple (24),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.210,Multiple (23),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.15,Multiple (24),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.147,Multiple (26),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.142,Multiple (24),Multiple (21),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.86,Multiple (25),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.234,Multiple (21),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,30,Multiple (2),30
192.150.14.52,Multiple (21),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.66,Multiple (20),Multiple (21),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.225,Multiple (22),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.81,Multiple (22),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.73,Multiple (22),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.123,Multiple (23),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.37,Multiple (21),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.184,Multiple (24),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.182,Multiple (24),Multiple (9),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.55,Multiple (24),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (3),29
192.150.14.84,Multiple (20),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.65,Multiple (20),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.200,Multiple (25),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.7,Multiple (20),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.104,Multiple (27),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.34,Multiple (25),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.40,Multiple (25),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.14.78,Multiple (21),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,29,Multiple (2),29
192.150.11.123,Multiple (9),443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,28,Multiple (2),28
192.150.14.204,Multiple (22),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.25,Multiple (24),Multiple (10),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.176,Multiple (22),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.57,Multiple (24),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.167,Multiple (23),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.227,Multiple (21),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.209,Multiple (25),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.157,Multiple (23),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.162,Multiple (22),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.49,Multiple (20),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.221,Multiple (24),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.133,Multiple (22),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.106,Multiple (22),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,28,Multiple (2),28
192.150.14.196,Multiple (21),Multiple (11),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.116,Multiple (22),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.232,Multiple (20),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.44,Multiple (18),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.164,Multiple (21),Multiple (21),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.83,Multiple (21),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.235,Multiple (22),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.199,Multiple (21),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.64,Multiple (18),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.113,Multiple (20),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.242,Multiple (20),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.119,Multiple (20),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.172,Multiple (20),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.148,Multiple (21),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.107,Multiple (20),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.124,Multiple (21),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.19,Multiple (22),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.170,Multiple (19),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,27,Multiple (2),27
192.150.14.32,Multiple (23),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.214,Multiple (21),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.178,Multiple (24),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.188,Multiple (22),Multiple (11),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.136,Multiple (18),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.245,Multiple (19),Multiple (20),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.144,Multiple (22),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.103,Multiple (23),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.255,Multiple (23),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.72,Multiple (22),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.80,Multiple (20),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.109,Multiple (21),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.93,Multiple (21),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.100,Multiple (19),Multiple (18),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.75,Multiple (19),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.91,Multiple (21),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.140,Multiple (22),Multiple (17),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.36,Multiple (22),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.35,Multiple (22),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.26,Multiple (20),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.193,Multiple (18),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.208,Multiple (19),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.20,Multiple (18),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.71,Multiple (18),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.230,Multiple (22),Multiple (15),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.213,Multiple (21),Multiple (16),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.128,Multiple (22),Multiple (13),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,China,26
192.150.14.134,Multiple (20),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,26,Multiple (2),26
192.150.14.12,Multiple (20),Multiple (14),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,25,Multiple (2),25
192.150.14.61,Multiple (23),Multiple (12),RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,Multiple (2),None,3,25,Multiple (2),25
